"price","size_m2","rooms","city","type","condition","price2","size2","unit_price"
"49,9 M Ft ","55  m2","2 szoba ","Budapest, XVI. kerület ","tégla építésû","Új építésû",49.9,55,0.907272727272727
"58 M Ft ","71  m2","2 szoba ","Budapest, II. kerület ","tégla építésû","Jó állapotú",58,71,0.816901408450704
"61,2 M Ft ","70  m2","2 és fél szoba ","Budapest, XI. kerület ","tégla építésû","felújítandó",61.2,70,0.874285714285714
"44,6 M Ft ","47  m2","1 szoba ","Budapest, XVI. kerület ","tégla építésû","Új építésû",44.6,47,0.948936170212766
"37,7 M Ft ","40  m2","1 szoba ","Budapest, XVI. kerület ","tégla építésû","Új építésû",37.7,40,0.9425
"33,5 M Ft ","35  m2","1 szoba ","Budapest, XVI. kerület ","tégla építésû","Új építésû",33.5,35,0.957142857142857
"39 M Ft ","41  m2","1 szoba ","Budapest, XVI. kerület ","tégla építésû","Új építésû",39,41,0.951219512195122
"42 M Ft ","44  m2","1 szoba ","Budapest, XVI. kerület ","tégla építésû","Új építésû",42,44,0.954545454545455
"44,6 M Ft ","47  m2","1 szoba ","Budapest, XVI. kerület ","tégla építésû","Új építésû",44.6,47,0.948936170212766
"33,5 M Ft ","35  m2","1 szoba ","Budapest, XVI. kerület ","tégla építésû","Új építésû",33.5,35,0.957142857142857
"41,8 M Ft ","44  m2","1 szoba ","Budapest, XVI. kerület ","tégla építésû","Új építésû",41.8,44,0.95
"24,5 M Ft ","38  m2","1 szoba ","Debrecen ","tégla építésû","Jó állapotú",24.5,38,0.644736842105263
"24,5 M Ft ","38  m2","1 szoba ","Debrecen ","tégla építésû","Jó állapotú",24.5,38,0.644736842105263
"89 M Ft ","136  m2","3 szoba ","Budapest, XI. kerület ","tégla építésû","Jó állapotú",89,136,0.654411764705882
"73,9 M Ft ","99  m2","3 szoba ","Budapest, VII. kerület ","tégla építésû","Jó állapotú",73.9,99,0.746464646464646
"149,9 M Ft ","109  m2","3 szoba ","Budapest, V. kerület ","tégla építésû","Jó állapotú",149.9,109,1.37522935779817
"219 M Ft ","157  m2","3 szoba ","Budapest, V. kerület ","tégla építésû","Jó állapotú",219,157,1.39490445859873
"26,5 M Ft ","48  m2","Eladó lakás ","","Jó állapotú",NA,26.5,48,0.552083333333333
"30 M Ft ","56  m2","3 szoba ","Kecskemét ","tégla építésû",NA,30,56,0.535714285714286
"25,9 M Ft ","68  m2","2 és 2 fél szoba ","Hódmezõvásárhely ","panellakás","Felújított állapotú",25.9,68,0.380882352941176
"13,9 M Ft ","44  m2","1 szoba ","Békéscsaba ","tégla építésû","Jó állapotú",13.9,44,0.315909090909091
"68,9 M Ft ","73  m2","3 szoba ","Budapest, XVI. kerület ","tégla építésû","Új építésû",68.9,73,0.943835616438356
"29,5 M Ft ","60  m2","2 és fél szoba ","Szeged ","panellakás","Felújított állapotú",29.5,60,0.491666666666667
"65 M Ft ","38  m2","2 szoba ","Budapest, XI. kerület ","tégla építésû","Újszerû állapotú",65,38,1.71052631578947
"6,5 M Ft ","48  m2","2 szoba ","Komló ","tégla építésû",NA,6.5,48,0.135416666666667
"19,5 M Ft ","53  m2","2 szoba ","Tatabánya ","tégla építésû","Jó állapotú",19.5,53,0.367924528301887
"37,9 M Ft ","73  m2","4 szoba ","Tatabánya ","tégla építésû","Új építésû",37.9,73,0.519178082191781
"57,9 M Ft ","44  m2","1 és fél szoba ","Budapest, VI. kerület ","tégla építésû","Jó állapotú",57.9,44,1.31590909090909
"16,9 M Ft ","27  m2","1 szoba ","Budapest, VIII. kerület ","tégla építésû","felújítandó",16.9,27,0.625925925925926
"19,9 M Ft ","32  m2","1 és fél szoba ","Budapest, III. kerület ","tégla építésû","Jó állapotú",19.9,32,0.621875
"23,8 M Ft ","55  m2","2 szoba ","Szeged ","panellakás","Jó állapotú",23.8,55,0.432727272727273
"35 M Ft ","55  m2","1 és 2 fél szoba ","Budapest, IV. kerület ","panellakás","Jó állapotú",35,55,0.636363636363636
"51 M Ft ","42  m2","2 szoba ","Budapest, VII. kerület ","tégla építésû","Jó állapotú",51,42,1.21428571428571
"42 M Ft ","51  m2","2 szoba ","Debrecen ","tégla építésû","Jó állapotú",42,51,0.823529411764706
"69,9 M Ft ","79  m2","2 szoba ","Budapest, V. kerület ","tégla építésû","Jó állapotú",69.9,79,0.884810126582279
"55 M Ft ","71  m2","2 szoba ","Budapest, XIII. kerület ","tégla építésû","Jó állapotú",55,71,0.774647887323944
"55 M Ft ","71  m2","2 szoba ","Budapest, XIII. kerület ","tégla építésû","Jó állapotú",55,71,0.774647887323944
"53,9 M Ft ","64  m2","1 és 2 fél szoba ","Budapest, XIII. kerület ","tégla építésû","Jó állapotú",53.9,64,0.8421875
"35 M Ft ","48  m2","1 szoba ","Budapest, XIII. kerület ","tégla építésû","Jó állapotú",35,48,0.729166666666667
"39,9 M Ft ","68  m2","3 szoba ","Budapest, XIV. kerület ","panellakás","Jó állapotú",39.9,68,0.586764705882353
"54,9 M Ft ","70  m2","2 szoba ","Budapest, VI. kerület ","tégla építésû","felújítandó",54.9,70,0.784285714285714
"65 M Ft ","70  m2","2 és fél szoba ","Budapest, XII. kerület ","tégla építésû","felújítandó",65,70,0.928571428571429
"44,9 M Ft ","86  m2","3 és fél szoba ","Budapest, VII. kerület ","tégla építésû","Jó állapotú",44.9,86,0.522093023255814
"199 M Ft ","88  m2","3 szoba ","Budapest, II. kerület ","tégla építésû","Felújított állapotú",199,88,2.26136363636364
"169,9 M Ft ","119  m2","3 szoba ","Budapest, VI. kerület ","tégla építésû","Felújított állapotú",169.9,119,1.42773109243697
"29,5 M Ft ","102  m2","3 szoba ","Dunaszentmiklós ","tégla építésû","Újszerû állapotú",29.5,102,0.28921568627451
"199 M Ft ","88  m2","3 szoba ","Budapest, II. kerület ","tégla építésû","Felújított állapotú",199,88,2.26136363636364
"44,9 M Ft ","86  m2","3 és fél szoba ","Budapest, VII. kerület ","tégla építésû","Jó állapotú",44.9,86,0.522093023255814
"103 M Ft ","75  m2","2 és fél szoba ","Budapest, I. kerület ","tégla építésû","Felújított állapotú",103,75,1.37333333333333
"41,5 M Ft ","52  m2","2 szoba ","Budapest, XIV. kerület ","tégla építésû","Jó állapotú",41.5,52,0.798076923076923
"57 M Ft ","60  m2","2 szoba ","Budapest, V. kerület ","tégla építésû","Jó állapotú",57,60,0.95
"59 M Ft ","56  m2","2 szoba ","Budapest, II. kerület ","tégla építésû","Jó állapotú",59,56,1.05357142857143
"90 M Ft ","54  m2","2 szoba ","Budapest, XIII. kerület ","tégla építésû","Felújított állapotú",90,54,1.66666666666667
"72,9 M Ft ","94  m2","2 szoba ","Budapest, III. kerület ","tégla építésû","Jó állapotú",72.9,94,0.775531914893617
"56,9 M Ft ","65  m2","2 és fél szoba ","Budapest, XIII. kerület ","tégla építésû","felújítandó",56.9,65,0.875384615384615
"41,9 M Ft ","30  m2","1 és 2 fél szoba ","Budapest, V. kerület ","tégla építésû","Felújított állapotú",41.9,30,1.39666666666667
"48 M Ft ","44  m2","2 szoba ","Balatonfüred ","tégla építésû","Felújított állapotú",48,44,1.09090909090909
"22,5 M Ft ","54  m2","2 szoba ","Miskolc ","tégla építésû","Felújított állapotú",22.5,54,0.416666666666667
"22,9 M Ft ","57  m2","2 szoba ","Miskolc ","tégla építésû","Felújított állapotú",22.9,57,0.401754385964912
"21,5 M Ft ","42  m2","2 szoba ","Nyíregyháza ","tégla építésû","Jó állapotú",21.5,42,0.511904761904762
"48 M Ft ","48  m2","1 és fél szoba ","Budapest, V. kerület ","tégla építésû","Jó állapotú",48,48,1
"39,9 M Ft ","29  m2","1 szoba ","Budapest, I. kerület ","tégla építésû","Felújított állapotú",39.9,29,1.37586206896552
"39,9 M Ft ","48  m2","2 szoba ","Budapest, VII. kerület ","tégla építésû","Felújított állapotú",39.9,48,0.83125
"51 M Ft ","56  m2","2 szoba ","Budapest, XIII. kerület ","tégla építésû","Jó állapotú",51,56,0.910714285714286
"57,9 M Ft ","63  m2","3 szoba ","Budapest, XI. kerület ","tégla építésû","Felújított állapotú",57.9,63,0.919047619047619
"149 M Ft ","149  m2","3 szoba ","Budapest, V. kerület ","tégla építésû","Felújított állapotú",149,149,1
"49,9 M Ft ","88  m2","3 szoba ","Debrecen ","tégla építésû","Jó állapotú",49.9,88,0.567045454545455
"75 M Ft ","118  m2","3 szoba ","Baja ","tégla építésû","Új építésû",75,118,0.635593220338983
"174,9 M Ft ","123  m2","3 és 2 fél szoba ","Budapest, III. kerület ","tégla építésû","Felújított állapotú",174.9,123,1.4219512195122
"75 M Ft ","118  m2","3 szoba ","Baja ","tégla építésû","Új építésû",75,118,0.635593220338983
"69 M Ft ","71  m2","3 szoba ","Budapest, VII. kerület ","tégla építésû","Felújított állapotú",69,71,0.971830985915493
"139 M Ft ","155  m2","4 szoba ","Budapest, XIII. kerület ","tégla építésû","Felújított állapotú",139,155,0.896774193548387
"144,8 M Ft ","97  m2","3 szoba ","Siófok ","tégla építésû","Újszerû állapotú",144.8,97,1.49278350515464
"35 M Ft ","71  m2","3 szoba ","Miskolc ","tégla építésû","Újszerû állapotú",35,71,0.492957746478873
"63,9 M Ft ","108  m2","3 szoba ","Miskolc ","tégla építésû","Jó állapotú",63.9,108,0.591666666666667
"116,3 M Ft ","78  m2","2 szoba ","Siófok ","tégla építésû","Újszerû állapotú",116.3,78,1.49102564102564
"37 M Ft ","45  m2","1 és fél szoba ","Debrecen ","tégla építésû","Újszerû állapotú",37,45,0.822222222222222
"162,9 M Ft ","130  m2","4 szoba ","Budapest, V. kerület ","tégla építésû","Felújított állapotú",162.9,130,1.25307692307692
"69 M Ft ","100  m2","3 és fél szoba ","Budapest, IX. kerület ","tégla építésû","felújítandó",69,100,0.69
"68 M Ft ","79  m2","3 szoba ","Budapest, VII. kerület ","tégla építésû","Jó állapotú",68,79,0.860759493670886
"25,9 M Ft ","53  m2","2 szoba ","Sopron ","panellakás","felújítandó",25.9,53,0.488679245283019
"40 M Ft ","34  m2","1 szoba ","Budapest, XIV. kerület Bosnyák utca 14. ","tégla építésû","Új építésû",40,34,1.17647058823529
"36,8 M Ft ","30  m2","1 szoba ","Budapest, XIV. kerület Bosnyák utca 14. ","tégla építésû","Új építésû",36.8,30,1.22666666666667
"47,7 M Ft ","43  m2","1 és fél szoba ","Budapest, XIV. kerület Bosnyák utca 14. ","tégla építésû","Új építésû",47.7,43,1.1093023255814
"22,9 M Ft ","32  m2","1 szoba ","Budapest, VIII. kerület ","tégla építésû","felújítandó",22.9,32,0.715625
"42 M Ft ","46  m2","2 szoba ","Budapest, VIII. kerület ","tégla építésû","Új építésû",42,46,0.91304347826087
"16,8 M Ft ","40  m2","1 és fél szoba ","Pécs ","panellakás","felújítandó",16.8,40,0.42
"28,8 M Ft ","35  m2","2 szoba ","Budapest, XV. kerület ","panellakás",NA,28.8,35,0.822857142857143
"24,9 M Ft ","64  m2","2 és fél szoba ","Veszprém ","panellakás","felújítandó",24.9,64,0.3890625
"14,4 M Ft ","55  m2","2 szoba ","Nagykõrös ","panellakás","felújítandó",14.4,55,0.261818181818182
"21,9 M Ft ","42  m2","1 és 2 fél szoba ","Pécs ","tégla építésû","Felújított állapotú",21.9,42,0.521428571428571
"98,2 M Ft ","99  m2","3 szoba ","Budapest, XIII. kerület ","tégla építésû","Jó állapotú",98.2,99,0.991919191919192
"65 M Ft ","70  m2","2 szoba ","Budapest, IX. kerület ","tégla építésû","Felújított állapotú",65,70,0.928571428571429
"10,4 M Ft ","29  m2","1 szoba ","Harkány ","tégla építésû","Jó állapotú",10.4,29,0.358620689655172
"70 E Ft ","30  m2","1 szoba ","Kecskemét ","tégla építésû","Újszerû állapotú",NA,30,NA
"32 M Ft ","61  m2","2 szoba ","Pécs ","tégla építésû","Felújított állapotú",32,61,0.524590163934426
"31,5 M Ft ","54  m2","2 szoba ","Budapest, XX. kerület ","tégla építésû","Jó állapotú",31.5,54,0.583333333333333
"30,9 M Ft ","40  m2","2 szoba ","Budapest, VII. kerület ","tégla építésû",NA,30.9,40,0.7725
"16,9 M Ft ","55  m2","2 szoba ","Nagykanizsa ","tégla építésû","Felújított állapotú",16.9,55,0.307272727272727
"26,5 M Ft ","54  m2","2 szoba ","Zalaegerszeg ","tégla építésû","Felújított állapotú",26.5,54,0.490740740740741
"63 M Ft ","57  m2","2 szoba ","Budapest, VI. kerület ","tégla építésû","Jó állapotú",63,57,1.10526315789474
"17,5 M Ft ","47  m2","1 és fél szoba ","Szentes ","tégla építésû","Felújított állapotú",17.5,47,0.372340425531915
"44,9 M Ft ","43  m2","1 és fél szoba ","Budapest, XIX. kerület ","tégla építésû",NA,44.9,43,1.04418604651163
"47 M Ft ","64  m2","3 szoba ","Budapest, VII. kerület ","tégla építésû","Jó állapotú",47,64,0.734375
"26 M Ft ","56  m2","3 szoba ","Szekszárd ","tégla építésû",NA,26,56,0.464285714285714
"30,5 M Ft ","71  m2","3 szoba ","Debrecen ","panellakás","Felújított állapotú",30.5,71,0.429577464788732
"33,9 M Ft ","47  m2","2 és fél szoba ","Budapest, X. kerület ","tégla építésû","Felújított állapotú",33.9,47,0.721276595744681
"22,9 M Ft ","40  m2","2 szoba ","Budapest, XIV. kerület ","tégla építésû",NA,22.9,40,0.5725
"36,9 M Ft ","59  m2","2 szoba ","Budapest, XXIII. kerület ","panellakás","Jó állapotú",36.9,59,0.625423728813559
"41,9 M Ft ","58  m2","1 és 2 fél szoba ","Budapest, XIII. kerület ","panellakás","Felújított állapotú",41.9,58,0.722413793103448
"51,5 M Ft ","57  m2","2 szoba ","Budapest, XIV. kerület ","tégla építésû","Új építésû",51.5,57,0.903508771929825
"54,6 M Ft ","59  m2","2 szoba ","Budapest, XIV. kerület ","tégla építésû","Új építésû",54.6,59,0.925423728813559
"87,1 M Ft ","54  m2","2 szoba ","Siófok ","tégla építésû","Újszerû állapotú",87.1,54,1.61296296296296
"19,5 M Ft ","53  m2","2 szoba ","Tatabánya ","tégla építésû",NA,19.5,53,0.367924528301887
"48,4 M Ft ","52  m2","2 szoba ","Budapest, XIV. kerület ","tégla építésû","Új építésû",48.4,52,0.930769230769231
"82 M Ft ","53  m2","2 szoba ","Siófok ","tégla építésû","Újszerû állapotú",82,53,1.54716981132075
"29,9 M Ft ","33  m2","1 szoba ","Budapest, VII. kerület ","tégla építésû","Jó állapotú",29.9,33,0.906060606060606
"36,5 M Ft ","56  m2","2 szoba ","Debrecen ","tégla építésû","Felújított állapotú",36.5,56,0.651785714285714
"14 M Ft ","15  m2","1 szoba ","Budapest, XIII. kerület ","tégla építésû","felújítandó",14,15,0.933333333333333
"41,9 M Ft ","33  m2","1 és fél szoba ","Budapest, V. kerület ","tégla építésû","Felújított állapotú",41.9,33,1.26969696969697
"19,2 M Ft ","62  m2","3 szoba ","Mohács ","panellakás","Felújított állapotú",19.2,62,0.309677419354839
"82,7 M Ft ","88  m2","3 szoba ","Budapest, XIV. kerület ","tégla építésû","Új építésû",82.7,88,0.939772727272727
"28,9 M Ft ","61  m2","2 szoba ","Bicske ","panellakás","Jó állapotú",28.9,61,0.473770491803279
"44,9 M Ft ","43  m2","2 szoba ","Budapest, XIX. kerület ","tégla építésû","Jó állapotú",44.9,43,1.04418604651163
"58 M Ft ","89  m2","2 és 2 fél szoba ","Budapest, XIII. kerület ","tégla építésû","Új építésû",58,89,0.651685393258427
"71,2 M Ft ","47  m2","2 szoba ","Budapest, II. kerület ","tégla építésû","Jó állapotú",71.2,47,1.51489361702128
"39,8 M Ft ","44  m2","2 szoba ","Budapest, XIII. kerület ","tégla építésû","Új építésû",39.8,44,0.904545454545454
"55 M Ft ","56  m2","2 szoba ","Budapest, V. kerület ","tégla építésû","Jó állapotú",55,56,0.982142857142857
"55 M Ft ","56  m2","2 szoba ","Budapest, V. kerület ","tégla építésû","Jó állapotú",55,56,0.982142857142857
"55 M Ft ","56  m2","2 szoba ","Budapest, V. kerület ","tégla építésû","Jó állapotú",55,56,0.982142857142857
"65 M Ft ","70  m2","2 és fél szoba ","Budapest, XII. kerület ","tégla építésû","felújítandó",65,70,0.928571428571429
"36 M Ft ","53  m2","2 szoba ","Budapest, VI. kerület ","tégla építésû","Jó állapotú",36,53,0.679245283018868
"43,9 M Ft ","72  m2","4 szoba ","Siófok ","panellakás","Felújított állapotú",43.9,72,0.609722222222222
"20 M Ft ","31  m2","1 szoba ","Szeged ","tégla építésû","Jó állapotú",20,31,0.645161290322581
"30,5 M Ft ","35  m2","1 és fél szoba ","Szigetszentmiklós ","tégla építésû","Jó állapotú",30.5,35,0.871428571428571
"28,9 M Ft ","40  m2","1 szoba ","Budapest, VII. kerület ","tégla építésû","Jó állapotú",28.9,40,0.7225
"33,9 M Ft ","50  m2","1 és fél szoba ","Budapest, XIV. kerület ","tégla építésû","felújítandó",33.9,50,0.678
"67,9 M Ft ","180  m2","5 szoba ","Pécs ","tégla építésû","Felújított állapotú",67.9,180,0.377222222222222
"109,9 M Ft ","91  m2","3 szoba ","Budapest, II. kerület ","tégla építésû","Új építésû",109.9,91,1.20769230769231
"53 M Ft ","66  m2","3 szoba ","Budapest, XVIII. kerület ","tégla építésû","Felújított állapotú",53,66,0.803030303030303
"69,9 M Ft ","75  m2","3 szoba ","Pécs ","tégla építésû","Újszerû állapotú",69.9,75,0.932
"42,5 M Ft ","67  m2","2 és fél szoba ","Budapest, XVIII. kerület ","panellakás","Felújított állapotú",42.5,67,0.634328358208955
"21,5 M Ft ","60  m2","2 szoba ","Nagykõrös ","panellakás","Újszerû állapotú",21.5,60,0.358333333333333
"85 M Ft ","73  m2","2 és fél szoba ","Budapest, II. kerület ","tégla építésû","Jó állapotú",85,73,1.16438356164384
"74,5 M Ft ","73  m2","2 szoba ","Herceghalom ","tégla építésû","Jó állapotú",74.5,73,1.02054794520548
"28,5 M Ft ","37  m2","1 szoba ","Budapest, XIX. kerület ","panellakás","Újszerû állapotú",28.5,37,0.77027027027027
"29,9 M Ft ","38  m2","1 szoba ","Budapest, VIII. kerület ","tégla építésû","Jó állapotú",29.9,38,0.786842105263158
"41,9 M Ft ","80  m2","3 és fél szoba ","Budapest, XIX. kerület ","tégla építésû","Jó állapotú",41.9,80,0.52375
"34,9 M Ft ","45  m2","2 szoba ","Budapest, XI. kerület ","tégla építésû","Jó állapotú",34.9,45,0.775555555555556
"45 M Ft ","65  m2","2 szoba ","Budapest, VIII. kerület ","tégla építésû","felújítandó",45,65,0.692307692307692
"71 M Ft ","65  m2","2 szoba ","Budapest, II. kerület ","tégla építésû","Újszerû állapotú",71,65,1.09230769230769
"33,9 M Ft ","47  m2","2 és fél szoba ","Budapest, X. kerület ","tégla építésû","Felújított állapotú",33.9,47,0.721276595744681
"26,9 M Ft ","29  m2","1 szoba ","Budapest, XII. kerület ","tégla építésû","Jó állapotú",26.9,29,0.927586206896552
"369 M Ft ","243  m2","5 szoba ","Budapest, II. kerület ","tégla építésû",NA,369,243,1.51851851851852
"77 M Ft ","105  m2","3 és fél szoba ","Budapest, VII. kerület ","tégla építésû","Jó állapotú",77,105,0.733333333333333
"77 M Ft ","105  m2","3 és fél szoba ","Budapest, VII. kerület ","tégla építésû","Jó állapotú",77,105,0.733333333333333
"179 M Ft ","145  m2","3 szoba ","Budapest, VI. kerület ","tégla építésû","Felújított állapotú",179,145,1.23448275862069
"139 M Ft ","155  m2","4 szoba ","Budapest, XIII. kerület ","tégla építésû","Felújított állapotú",139,155,0.896774193548387
"9,8 M Ft ","114  m2","4 szoba ","Ózd ","tégla építésû",NA,9.8,114,0.0859649122807018
"46,8 M Ft ","52  m2","2 szoba ","Budapest, XII. kerület ","tégla építésû","Jó állapotú",46.8,52,0.9
"22,9 M Ft ","25  m2","1 szoba ","Budapest, VIII. kerület ","tégla építésû","Újszerû állapotú",22.9,25,0.916
"28,7 M Ft ","30  m2","1 szoba ","Budapest, III. kerület ","tégla építésû","Újszerû állapotú",28.7,30,0.956666666666667
"158,5 M Ft ","129  m2","4 szoba ","Budapest, II. kerület ","tégla építésû","Felújított állapotú",158.5,129,1.22868217054264
"61,9 M Ft ","133  m2","4 szoba ","Nagykanizsa ","tégla építésû","Felújított állapotú",61.9,133,0.465413533834586
"22,9 M Ft ","82  m2","Eladó lakás ","",NA,NA,22.9,82,0.279268292682927
"29 M Ft ","104  m2","3 szoba ","Dunaszentmiklós ","tégla építésû","Felújított állapotú",29,104,0.278846153846154
"69,8 M Ft ","86  m2","4 szoba ","Veszprém ","tégla építésû","Felújított állapotú",69.8,86,0.811627906976744
"45 M Ft ","53  m2","3 szoba ","Budapest, XI. kerület ","tégla építésû","Jó állapotú",45,53,0.849056603773585
"17,8 M Ft ","50  m2","2 szoba ","Pécs ","panellakás",NA,17.8,50,0.356
"31,5 M Ft ","51  m2","2 szoba ","Debrecen ","panellakás","Felújított állapotú",31.5,51,0.617647058823529
"18,7 M Ft ","40  m2","1 és fél szoba ","Pécs ","panellakás","Felújított állapotú",18.7,40,0.4675
"21,9 M Ft ","54  m2","2 és fél szoba ","Komárom ","panellakás","Jó állapotú",21.9,54,0.405555555555556
"35,9 M Ft ","49  m2","2 szoba ","Budapest, XIV. kerület ","panellakás","Jó állapotú",35.9,49,0.73265306122449
"38,4 M Ft ","55  m2","2 és 2 fél szoba ","Budapest, IV. kerület ","panellakás","Felújított állapotú",38.4,55,0.698181818181818
"37 M Ft ","48  m2","2 szoba ","Budapest, III. kerület ","panellakás","Jó állapotú",37,48,0.770833333333333
"41,9 M Ft ","58  m2","1 és 2 fél szoba ","Budapest, XIII. kerület ","panellakás","Felújított állapotú",41.9,58,0.722413793103448
"23,9 M Ft ","19  m2","1 szoba ","Budapest, VII. kerület ","tégla építésû","Felújított állapotú",23.9,19,1.25789473684211
"18,6 M Ft ","57  m2","2 szoba ","Pécs ","panellakás","Jó állapotú",18.6,57,0.326315789473684
"34,9 M Ft ","57  m2","1 és 2 fél szoba ","Budapest, III. kerület ","panellakás","Jó állapotú",34.9,57,0.612280701754386
"48 M Ft ","78  m2","2 és fél szoba ","Kecskemét ","tégla építésû","Felújított állapotú",48,78,0.615384615384615
"30,5 M Ft ","47  m2","1 és fél szoba ","Nyíregyháza ","tégla építésû",NA,30.5,47,0.648936170212766
"18,9 M Ft ","50  m2","2 szoba ","Pécs ","panellakás","Jó állapotú",18.9,50,0.378
"58,9 M Ft ","67  m2","2 és 2 fél szoba ","Budapest, III. kerület ","panellakás","Jó állapotú",58.9,67,0.87910447761194
"20 M Ft ","55  m2","2 szoba ","Pécs ","panellakás","Jó állapotú",20,55,0.363636363636364
"58,9 M Ft ","67  m2","2 és 2 fél szoba ","Budapest, III. kerület ","panellakás","Jó állapotú",58.9,67,0.87910447761194
"27,9 M Ft ","35  m2","1 szoba ","Budapest, III. kerület ","panellakás","Jó állapotú",27.9,35,0.797142857142857
"34,9 M Ft ","57  m2","1 és 2 fél szoba ","Budapest, III. kerület ","panellakás","Jó állapotú",34.9,57,0.612280701754386
"26,9 M Ft ","32  m2","1 szoba ","Budapest, III. kerület ","panellakás","Jó állapotú",26.9,32,0.840625
"23,9 M Ft ","40  m2","1 és fél szoba ","Pécs ","tégla építésû","Felújított állapotú",23.9,40,0.5975
"36,4 M Ft ","46  m2","1 és fél szoba ","Budapest, XIII. kerület ","tégla építésû","Jó állapotú",36.4,46,0.791304347826087
"23,9 M Ft ","40  m2","1 és fél szoba ","Pécs ","tégla építésû","Felújított állapotú",23.9,40,0.5975
"23,9 M Ft ","40  m2","1 és fél szoba ","Pécs ","tégla építésû","Felújított állapotú",23.9,40,0.5975
"98,2 M Ft ","99  m2","3 szoba ","Budapest, XIII. kerület ","tégla építésû","Jó állapotú",98.2,99,0.991919191919192
"56 M Ft ","69  m2","3 szoba ","Budapest, III. kerület ","panellakás","Jó állapotú",56,69,0.811594202898551
"30,9 M Ft ","71  m2","2 és fél szoba ","Budapest, IV. kerület ","panellakás","Jó állapotú",30.9,71,0.435211267605634
"39,9 M Ft ","95  m2","2 és fél szoba ","Kecskemét ","tégla építésû","Jó állapotú",39.9,95,0.42
"52,9 M Ft ","51  m2","2 szoba ","Budapest, XII. kerület ","tégla építésû","Jó állapotú",52.9,51,1.03725490196078
"34,9 M Ft ","49  m2","2 szoba ","Kecskemét ","tégla építésû","Felújított állapotú",34.9,49,0.712244897959184
"9,5 M Ft ","48  m2","2 szoba ","Salgótarján ","tégla építésû","felújítandó",9.5,48,0.197916666666667
"25,9 M Ft ","55  m2","2 szoba ","Tatabánya ","tégla építésû","felújítandó",25.9,55,0.470909090909091
"98,2 M Ft ","99  m2","3 szoba ","Budapest, XIII. kerület ","tégla építésû","Jó állapotú",98.2,99,0.991919191919192
"21,9 M Ft ","58  m2","3 szoba ","Kecskemét ","tégla építésû","Jó állapotú",21.9,58,0.377586206896552
"9,5 M Ft ","24  m2","1 szoba ","Siklós ","tégla építésû","Felújított állapotú",9.5,24,0.395833333333333
"10,4 M Ft ","29  m2","1 szoba ","Harkány ","tégla építésû","Jó állapotú",10.4,29,0.358620689655172
"10,4 M Ft ","29  m2","1 szoba ","Harkány ","tégla építésû","Jó állapotú",10.4,29,0.358620689655172
"34,9 M Ft ","34  m2","1 és fél szoba ","Budapest, XII. kerület ","tégla építésû","Jó állapotú",34.9,34,1.02647058823529
"21,5 M Ft ","34  m2","1 szoba ","Kecskemét ","tégla építésû","Jó állapotú",21.5,34,0.632352941176471
"21,5 M Ft ","34  m2","1 szoba ","Kecskemét ","tégla építésû","Jó állapotú",21.5,34,0.632352941176471
"31,9 M Ft ","53  m2","2 szoba ","Budapest, IV. kerület ","tégla építésû","Jó állapotú",31.9,53,0.60188679245283
"48 M Ft ","59  m2","2 szoba ","Budapest, XIX. kerület ","tégla építésû","Új építésû",48,59,0.813559322033898
"39,8 M Ft ","44  m2","2 szoba ","Budapest, XIII. kerület ","tégla építésû","Új építésû",39.8,44,0.904545454545454
"159,9 M Ft ","79  m2","2 és fél szoba ","Budapest, VI. kerület ","tégla építésû","Felújított állapotú",159.9,79,2.02405063291139
"69 M Ft ","70  m2","2 és fél szoba ","Budapest, VII. kerület ","tégla építésû","Jó állapotú",69,70,0.985714285714286
"26,5 M Ft ","62  m2","2 szoba ","Halásztelek ","tégla építésû","felújítandó",26.5,62,0.42741935483871
"19 M Ft ","49  m2","2 szoba ","Zalaegerszeg ","tégla építésû","Jó állapotú",19,49,0.387755102040816
"7,3 M Ft ","49  m2","2 szoba ","Salgótarján ","tégla építésû","Jó állapotú",7.3,49,0.148979591836735
"47 M Ft ","61  m2","2 szoba ","Budapest, VI. kerület ","tégla építésû","Jó állapotú",47,61,0.770491803278688
"35,5 M Ft ","35  m2","2 szoba ","Budapest, VI. kerület ","tégla építésû","Jó állapotú",35.5,35,1.01428571428571
"52 M Ft ","72  m2","2 szoba ","Budapest, IX. kerület ","tégla építésû","felújítandó",52,72,0.722222222222222
"25,9 M Ft ","43  m2","2 szoba ","Pécs ","tégla építésû","Jó állapotú",25.9,43,0.602325581395349
"23,9 M Ft ","39  m2","1 szoba ","Budapest, IV. kerület ","tégla építésû","Jó állapotú",23.9,39,0.612820512820513
"14,4 M Ft ","28  m2","1 szoba ","Kecskemét ","tégla építésû","Jó állapotú",14.4,28,0.514285714285714
"21,9 M Ft ","27  m2","1 szoba ","Budapest, XIII. kerület ","tégla építésû","Felújított állapotú",21.9,27,0.811111111111111
"25 M Ft ","30  m2","1 szoba ","Budapest, IV. kerület ","tégla építésû","Felújított állapotú",25,30,0.833333333333333
"9,9 M Ft ","33  m2","1 szoba ","Salgótarján ","tégla építésû","Jó állapotú",9.9,33,0.3
"30,5 M Ft ","71  m2","3 szoba ","Debrecen ","panellakás","Felújított állapotú",30.5,71,0.429577464788732
